2023-02-02 15:01:48,312 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 15:01:48,314 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 15:01:48,316 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 15:01:48,318 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 15:01:48,320 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 15:02:06,175 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-02 15:02:06,176 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-02 15:02:06,178 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:02:16,833 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:02:17,837 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:02:17,838 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:02:27,848 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:02:28,854 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:02:28,863 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:02:38,876 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:02:39,880 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:04:14,790 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:04:24,842 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:04:25,847 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:04:25,848 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:04:35,856 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:04:36,863 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:04:36,864 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:04:46,876 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:04:47,881 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:06:24,582 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:06:34,603 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:06:35,606 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:06:35,608 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:06:45,627 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:06:46,629 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:06:46,630 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:06:56,643 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:06:57,646 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:07:36,901 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:07:46,925 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:07:47,927 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
