2023-02-15 15:43:40,778 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 15:43:40,779 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 15:43:40,780 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:C2:8A:89:98:08
2023-02-15 15:43:50,958 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:C2:8A:89:98:08 was not found
2023-02-15 15:43:51,962 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-15 15:43:51,963 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:C2:8A:89:98:08
2023-02-15 15:44:01,972 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:C2:8A:89:98:08 was not found
2023-02-15 15:44:02,976 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-15 15:44:02,978 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:C2:8A:89:98:08
2023-02-15 15:44:12,988 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:C2:8A:89:98:08 was not found
2023-02-15 15:44:13,993 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-15 15:46:35,928 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 15:46:45,943 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-15 15:46:46,949 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-15 15:46:46,952 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 15:46:56,960 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-15 15:46:57,965 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-15 15:46:57,966 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 15:47:07,974 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-15 15:47:08,985 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-15 15:48:08,610 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 15:48:08,610 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 15:48:08,625 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-15 15:48:08,625 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-15 15:48:08,639 | MainThread   | [WARNING ] | exit_handler        |: 'NoneType' object has no attribute 'disconnect'
2023-02-15 15:48:08,639 | MainThread   | [WARNING ] | exit_handler        |: 'NoneType' object has no attribute 'disconnect'
2023-02-15 15:48:15,371 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 15:48:15,372 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
